ico,company_name,legal_form,nace_description,city,employee_category,archetype
45306371,ERILENS s.r.o.,Společnost s ručením omezeným,Výroba lékařských a dentálních nástrojů a potřeb,Praha - Bubeneč,small,healthy
26845318,"ADAMIK Company, s.r.o.",Společnost s ručením omezeným,Zprostředkování velkoobchodu a velkoobchod v zastoupení ,Paskov,small,healthy
25552121,JATKY Dolní Heřmanice s.r.o.,Společnost s ručením omezeným,Zpracování a konzervování masa a výroba masných výrobků,Dolní Heřmanice,small,distressed
19935200,4Cargo s.r.o.,Společnost s ručením omezeným,Ostatní vedlejší činnosti v dopravě,Šťáhlavy,small,healthy
26921782,ZETOR TRACTORS a.s.,Akciová společnost,Výroba zemědělských a lesnických strojů,Brno - Líšeň,medium,healthy
60203170,B.S.Dental s.r.o.,Společnost s ručením omezeným,Nespecializovaný velkoobchod,Praha - Karlín,small,healthy
9774459,Zlatá Bohemia s.r.o.,Společnost s ručením omezeným,Nespecializovaný velkoobchod,Praha - Žižkov,small,healthy
49608011,"UHLOBESKYD - obchod s palivy, spol. s r. o. G",Společnost s ručením omezeným," OPRAVY A ÚDRŽBA MOTOROVÝCH VOZIDEL""",Valašské Meziříčí,small,watch
8962669,DEL a.s.,Akciová společnost,Výroba elektrických rozvodných a kontrolních zařízení,Praha - Nové Město,medium,healthy
46960830,SAKER spol. s r.o.,Společnost s ručením omezeným,Výroba a hutní zpracování ostatních neželezných kovů,Kroměříž,medium,watch
64788342,FOREZ s.r.o.,Společnost s ručením omezeným,Výroba strojů a zařízení j. n.,Ostrov,medium,watch
26470535,"BOHEMILK, a.s.",Akciová společnost,"Zpracování mléka, výroba mléčných výrobků a sýrů",Opočno,medium,healthy
26006715,SEED SERVICE s.r.o.,Společnost s ručením omezeným,Nespecializovaný velkoobchod,Vysoké Mýto - Litomyšlské Předměstí,medium,healthy
24272621,MORAVOINVEST CZ spol. s r.o.,Společnost s ručením omezeným,Pronájem a správa vlastních nebo pronajatých nemovitostí,Olomouc - Bělidla,small,healthy
60749105,SATT a.s.,Akciová společnost,"Výroba a rozvod tepla a klimatizovaného vzduchu, výroba ledu",Žďár nad Sázavou,medium,watch
25685813,"EKOM - VZDUCHOTECHNIKA, s.r.o.",Společnost s ručením omezeným,Výroba elektřiny ,Mladá Boleslav - Bezděčín,medium,healthy
46963171,IMESO spol. s r.o.,Společnost s ručením omezeným,"Opravy přístrojů a zařízení převážně pro domácnost, dům a zahradu",Tetčice,medium,healthy
28281292,Pharmawell a.s.,Akciová společnost,Velkoobchod s farmaceutickými výrobky,Brno - Veveří,small,distressed
25548611,"EXBIO Praha, a.s.",Akciová společnost,Výroba základních farmaceutických výrobků a farmaceutických přípravků,Vestec,medium,watch
27635007,ATS Praha s.r.o.,Společnost s ručením omezeným,Reklamní činnosti,Praha - Vršovice,small,healthy
29158516,Cyklosport RIK s.r.o.,Společnost s ručením omezeným,Maloobchod se sportovním vybavením ,Stanovice,small,healthy
28572599,"Nábytek ALDO, s.r.o.",Společnost s ručením omezeným,Nespecializovaný velkoobchod,Český Těšín - Mosty,small,healthy
