ico,year_month,credit_turnover_czk,debit_turnover_czk,min_balance_czk,avg_balance_czk,overdraft_days,overdraft_max_depth_czk,tax_payment_made,tax_payment_delay_days,payroll_amount_czk,payroll_employees_count,deposit_balance_czk,savings_balance_czk
45306371,2022-01,1289.5,1140.1,209.3,279.7,0,0.0,True,0,287.5,8,231.4,98.0
45306371,2022-02,1127.9,1020.6,235.1,127.1,0,0.0,True,0,268.0,10,149.9,92.0
45306371,2022-03,1335.4,1246.3,138.0,163.3,0,0.0,True,0,336.8,8,406.6,231.2
45306371,2022-04,1148.8,1071.9,126.0,254.8,0,0.0,True,0,234.9,8,429.4,315.7
45306371,2022-05,1253.1,1200.6,282.9,202.4,0,0.0,True,0,267.1,8,132.6,101.4
45306371,2022-06,1291.6,1190.2,187.4,197.6,0,0.0,True,0,261.7,6,425.9,155.1
45306371,2022-07,1156.6,1061.0,159.2,143.7,0,0.0,True,0,322.5,10,461.0,288.1
45306371,2022-08,1109.6,953.4,246.3,163.8,0,0.0,True,0,205.5,5,187.2,140.9
45306371,2022-09,1083.0,981.2,75.1,200.0,0,0.0,True,0,304.5,7,370.6,146.5
45306371,2022-10,1260.0,1144.5,110.9,232.3,0,0.0,True,0,192.8,6,451.7,191.7
45306371,2022-11,1084.1,1052.1,264.3,292.4,0,0.0,True,0,377.2,14,433.4,311.2
45306371,2022-12,1162.5,1052.0,163.9,338.8,0,0.0,True,0,182.9,4,208.7,144.5
45306371,2023-01,1236.7,1145.1,76.0,248.0,0,0.0,True,0,265.3,7,324.8,218.9
45306371,2023-02,1087.6,959.3,248.0,238.1,0,0.0,True,0,221.0,5,185.5,66.8
45306371,2023-03,1171.4,1041.4,215.9,191.2,0,0.0,True,0,367.3,9,201.0,100.1
45306371,2023-04,1057.6,1019.8,239.2,183.9,0,0.0,True,0,370.1,12,189.9,145.6
45306371,2023-05,1288.1,1252.1,235.3,163.4,0,0.0,True,0,415.0,16,444.6,199.9
45306371,2023-06,1030.4,997.1,152.2,277.4,0,0.0,True,0,327.6,11,299.1,129.2
45306371,2023-07,1139.9,1109.0,82.5,271.5,0,0.0,False,11,373.7,11,355.3,206.2
45306371,2023-08,1009.2,904.7,58.5,238.6,0,0.0,True,0,248.3,7,383.4,301.4
45306371,2023-09,1169.4,1020.9,245.5,213.4,0,0.0,True,0,419.4,9,200.0,76.2
45306371,2023-10,1326.7,1134.4,167.8,257.6,0,0.0,True,0,344.5,11,196.0,127.5
45306371,2023-11,1328.0,1262.3,84.8,226.1,0,0.0,True,0,354.9,9,291.5,128.1
45306371,2023-12,1280.7,1187.9,73.8,216.6,0,0.0,True,0,193.8,6,351.1,278.0
45306371,2024-01,1225.9,1151.5,259.0,353.1,0,0.0,True,0,358.6,13,283.0,158.5
45306371,2024-02,1134.2,1062.4,171.8,187.4,0,0.0,True,0,396.7,10,155.8,116.9
45306371,2024-03,1266.5,1126.6,274.5,179.9,0,0.0,True,0,274.6,9,342.9,172.5
45306371,2024-04,1301.4,1154.2,236.6,302.9,0,0.0,True,0,331.1,8,504.9,337.3
45306371,2024-05,1090.8,1036.2,187.9,208.4,0,0.0,True,0,260.8,9,124.2,98.4
45306371,2024-06,1311.9,1247.8,297.9,188.6,0,0.0,True,0,247.6,6,482.5,352.3
45306371,2024-07,1350.1,1203.3,218.4,338.9,0,0.0,True,0,357.1,12,323.2,182.8
